Chatter Creek's value-priced Bordeaux blend is often his most appealing red wine upon release. This is scented with hard cherry candy and the flavors follow right on course. It needs some breathing time to open out and as it does the finish lingers with pleasing streaks of coffee and toast.,US,Red Blend
This is co-fermented Old Stones Vineyard and Cailloux Vineyard Cabernet Sauvignon (60%) and Syrah (40%) showing the funk of the terroir and less of the varietal character of the fruit. It's flavorful and textural with earth anise and smoke notes plus a mineral-driven wet-stone base and exceptional length.,US,Cabernet Sauvignon-Syrah
A four-grape Bordeaux-style blend this packs 57% Cabernet Sauvignon 27% Merlot 13% Cabernet Franc and 3% Malbec. Refined and elegant it is precisely structured with a firm herbal attack and a perfect blend of berry and cassis flavors. It's dense deep and compact suggesting long aging ahead.,US,Bordeaux-style Red Blend
A wonderful 100% Cabernet this is Prime's first wine to bear the new Coombsville appellation. It's smooth elegant and complex with layers of blackberry and crème de cassis. It's beautiful now and over the next eight years.,US,Cabernet Sauvignon
Truly stunning the Lewis Estate Riesling from Dunham explodes with fragrant fruits—citrus melon and tropical. A symphony of subtle accents such as powdered sugar candied citrus peel and breakfast tea this gorgeous bottle belongs with the short list of the very best of Washington's many Rieslings.,US,Riesling
This is made from fruit sourced from the oldest block of Syrah in Washington which was planted in 1986. The nose expresses complex varietal character with a mix of blue and purple berry a dusting of earth and accents of cinnamon and incense. Subtle and expressive this is the best vintage to date for the Patriarche.,US,Syrah
One of the best Napa Cabernet Francs in memory this shows lush concentrated flavors of cherry pie red currant mocha anise and smoky spicy sandalwood that are wrapped into firm but exceptionally refined tannins. Drink now to experience the youthful beauty.,US,Cabernet Franc
This is a 100% Cabernet and its tannins are so strong that it's virtually undrinkable now. It displays class in every way with an intense concentration of cassis liqueur and blackberry that's especially deep in the middle palate but it also persists into a long spicy finish. It would be a pity to open it before 2018 and it has the structure to go the long haul.,US,Cabernet Sauvignon
A big vital wine mouth-filling and dense with plenty of weight and volume and deep flavors of earth chocolate blackberry and sweet currant. The cool '09 vintage has resulted in this version of Cask 23 being lighter in alcohol and tighter than others like the 2008. It's not quite as fat or immediately accessible as those vintages but it is very fine and should reward at least 10 years in the cellar although you can certainly drink it now after a few hours in the decanter.,US,Cabernet Sauvignon
This delicious 100% Cabernet is supple and generous. The tannins are gentle the acidity soft yet supportive of the structure and as for the flavors they go beyond satisfaction into sheer delight. They include blackberry cherry blueberry currant mocha and red licorice but the wine has an earthiness and minerality that give it true complexity. This is Stag's Leap's most accessible 2009 Cabernet easily earning its high score for sheer delight. Drink now–2015.,US,Cabernet Sauvignon
This will be the last Ovide from En Cerise grapes. It's an explosion of cherry and milk chocolate flavors remaining firm with expressive highlights of olive earth and herb. It is two-thirds Cabernet and one-third Syrah a perfect melding of the two grapes. Arguably one gets better aromatics than Charles Smith and the wine flavors deliver on their initial promise.,US,Cabernet Sauvignon-Syrah
